epoch,accuracy,learning_rate,loss,top3,val_accuracy,val_loss,val_top3
0,0.5243310332298279,0.0010000000474974513,1.9593517780303955,0.7351999282836914,0.4154275059700012,2.543848991394043,0.7815985083580017
1,0.8646554350852966,0.0010000000474974513,0.6385180950164795,0.9744808077812195,0.8224906921386719,1.1358890533447266,0.9572490453720093
2,0.9273685216903687,0.0010000000474974513,0.3315437138080597,0.9874987006187439,0.9079925417900085,0.4228402078151703,0.9842007160186768
3,0.944828987121582,0.0010000000474974513,0.2296585589647293,0.9903915524482727,0.9089219570159912,0.2930474877357483,0.9860594868659973
4,0.9566071033477783,0.0010000000474974513,0.17620868980884552,0.9926645159721375,0.9237918257713318,0.2415388822555542,0.9888476133346558
5,0.9620828628540039,0.0010000000474974513,0.1428532600402832,0.9947308897972107,0.9247211813926697,0.23837468028068542,0.9907063245773315
6,0.9650790095329285,0.0010000000474974513,0.12517745792865753,0.9962806105613708,0.9386616945266724,0.20973818004131317,0.9897769689559937
7,0.9692116975784302,0.0010000000474974513,0.11066800355911255,0.9963839054107666,0.9414498209953308,0.17659254372119904,0.99349445104599
8,0.9716913104057312,0.0010000000474974513,0.09948395937681198,0.9962806105613708,0.9293680191040039,0.23705610632896423,0.9925650358200073
9,0.9738609194755554,0.0010000000474974513,0.0903867557644844,0.9972104430198669,0.964684009552002,0.11237680166959763,0.9972118735313416
10,0.9752040505409241,0.0010000000474974513,0.0835813656449318,0.997520387172699,0.9535316228866577,0.1318875253200531,0.9953531622886658
11,0.9749974012374878,0.0010000000474974513,0.08000635355710983,0.9977270364761353,0.9581784605979919,0.11435110121965408,0.9962825179100037
12,0.9777869582176208,0.0010000000474974513,0.07250137627124786,0.9974170923233032,0.9451673030853271,0.17638273537158966,0.9953531622886658
13,0.9783035516738892,0.0010000000474974513,0.06922751665115356,0.9983469247817993,0.9600371718406677,0.10873885452747345,0.9962825179100037
14,0.979336678981781,0.0010000000474974513,0.06569288671016693,0.9983469247817993,0.9507434964179993,0.1348295956850052,0.9962825179100037
15,0.9806798100471497,0.0010000000474974513,0.060341887176036835,0.9984502792358398,0.9600371718406677,0.1069270670413971,0.9972118735313416
16,0.9829527735710144,0.0010000000474974513,0.05491960793733597,0.9990701675415039,0.9628252983093262,0.09772118180990219,0.9962825179100037
17,0.9830561280250549,0.0010000000474974513,0.053396496921777725,0.9988635182380676,0.9618958830833435,0.13048750162124634,0.9962825179100037
18,0.9814030528068542,0.0010000000474974513,0.0604633204638958,0.9988635182380676,0.9674721360206604,0.10859417170286179,0.9981412887573242
19,0.9841926097869873,0.0010000000474974513,0.04991459846496582,0.9991734623908997,0.9693308472633362,0.09040095657110214,0.9953531622886658
